"id" "X48a" "X48b" "X10a" "X10b" "X9a" "X9b" "X42a" "X42b" "X37a" "X37b" "X18a" "X18b" "X58a" "X58b" "X25a" "X25b" "X27a" "X27b" "X13a" "X13b" "X35a" "X35b" "X4a" "X4b" "X56a" "X56b" "X6a" "X6b"
"213" "J854303" 279 279 122 122 131 131 249 249 237 241 184 188 310 316 173 206 222 222 152 152 230 232 106 108 305 305 129 129
"214" "J854308" 272 279 122 130 131 131 249 249 237 241 184 188 293 299 173 202 184 213 140 152 230 230 106 106 305 305 125 129
"215" "J854311" 272 284 130 143 131 133 249 249 237 237 184 188 299 316 173 202 213 213 140 140 230 232 106 108 299 305 117 129
"217" "J854337" 272 279 122 122 131 131 249 249 237 241 184 188 299 316 206 213 222 222 140 140 230 232 106 108 305 305 119 129
"218" "J854347" 272 279 122 143 131 133 249 249 237 237 184 184 293 299 202 213 213 222 140 152 232 234 106 108 301 305 119 119
"219" "J854348" 272 272 122 143 131 137 249 253 237 237 184 184 299 316 213 213 222 222 140 152 230 234 106 108 305 305 117 119
"220" "J854372" 272 272 143 143 133 133 249 253 237 237 188 196 293 299 202 202 184 213 140 140 230 230 106 108 305 305 119 129
"221" "J854375" 272 279 122 143 131 131 249 249 237 241 184 184 299 305 173 213 213 222 140 152 230 232 106 106 305 305 117 129
"222" "J854379" 272 279 122 143 131 131 249 249 237 237 184 184 299 316 213 213 213 213 140 152 230 232 106 108 299 299 129 129
"223" "J854386" 279 279 143 143 131 133 249 249 237 237 188 188 299 310 202 213 217 222 152 152 230 234 106 106 299 305 129 129
"224" "J854483" 272 272 122 122 131 137 249 249 237 241 184 188 299 299 173 202 222 222 140 140 230 234 106 108 305 305 117 129
"225" "K278001" 272 279 122 122 131 131 249 249 237 241 184 184 293 299 197 213 184 213 140 140 230 232 106 106 305 305 129 129
"226" "K278003" 279 284 122 143 131 131 249 249 237 241 184 184 299 316 213 213 213 222 140 152 230 234 106 106 299 305 117 129
"227" "K278004" 272 279 122 143 131 131 249 253 237 241 184 188 316 316 173 202 213 222 140 152 232 234 106 106 305 305 119 129
"228" "K278010" 272 279 122 122 131 131 249 249 237 237 184 184 310 310 197 213 213 213 140 147 230 234 106 108 299 305 117 119
"229" "K278011" 279 279 130 143 131 131 249 249 237 237 184 188 310 316 197 213 222 222 152 152 230 232 106 106 305 305 119 129
"230" "K278013" 279 279 122 143 131 131 249 249 241 241 184 184 299 316 197 213 213 222 140 152 230 230 106 106 305 305 119 129
"231" "K278018" 279 279 122 122 133 137 249 253 237 241 184 184 293 310 202 213 217 222 152 152 230 230 106 106 299 305 119 129
"232" "K278023" 279 279 122 143 131 133 253 253 237 241 184 184 299 305 202 213 213 222 152 152 230 230 106 108 305 305 119 129
"233" "K278026" 272 279 122 122 131 133 249 253 237 237 184 184 293 299 173 173 184 222 140 147 230 232 108 108 299 305 117 125
"234" "K278031" 272 272 122 122 131 131 249 253 237 237 184 184 293 316 213 213 184 222 140 140 232 232 106 106 301 305 117 119
"236" "K278037" 272 272 122 122 131 131 249 249 237 237 184 184 299 299 202 213 213 222 140 140 230 232 106 108 299 305 125 129
"237" "K278040" 272 272 122 122 131 137 249 249 237 237 184 184 299 305 202 213 213 222 140 140 232 234 106 106 305 305 119 129
"238" "K278047" 272 272 122 143 131 131 249 253 237 237 184 184 293 293 202 213 217 222 140 140 232 234 106 106 299 305 125 129
"239" "K278058" 272 284 122 122 131 131 NA NA 237 247 184 188 299 299 173 213 213 222 140 140 230 234 106 108 299 305 117 125
"240" "K278102" 272 272 122 122 131 133 249 249 237 237 184 184 299 299 202 213 184 213 140 147 230 232 108 108 299 305 129 129
"241" "K278104" 272 279 122 122 131 131 249 249 241 247 184 188 299 299 202 213 213 222 140 152 230 232 106 106 299 299 117 119
"242" "K278105" 272 279 122 122 131 131 249 249 237 241 184 188 293 299 202 213 213 213 140 152 230 232 106 106 305 305 119 129
"243" "K278109" 272 279 122 122 131 131 249 249 237 237 184 184 299 299 202 202 222 222 140 152 232 232 106 108 299 305 117 119
"244" "K278114" 272 279 122 143 131 137 249 253 237 237 184 188 305 316 213 213 213 222 140 147 230 230 106 108 299 305 117 129
"245" "K278115" 272 272 122 143 131 131 249 249 237 237 184 184 299 299 197 213 213 213 140 140 230 230 106 108 305 305 119 129
"246" "K278117" 272 279 122 143 131 131 249 253 237 241 184 188 293 299 197 213 184 213 140 140 230 232 106 106 299 305 119 129
"248" "K278122" 279 279 122 122 131 133 249 253 237 241 184 188 293 293 202 213 213 222 140 152 230 230 106 108 305 305 117 119
"249" "K278128" 272 279 122 122 131 137 249 249 237 237 184 184 299 299 202 213 213 213 140 152 230 234 106 106 305 305 117 119
"250" "K278139" 272 279 122 130 131 131 249 249 237 237 184 188 299 316 197 197 184 222 140 140 230 232 106 108 305 305 117 119
"251" "K278141" 272 279 122 122 131 131 249 249 237 237 184 188 293 310 213 213 213 222 140 152 230 230 106 108 305 305 117 117
"252" "K278253" 272 272 122 122 131 131 249 249 237 237 184 184 316 316 213 213 184 184 140 152 230 232 106 106 299 305 117 129
"253" "K278255" 272 279 122 122 131 131 249 249 237 237 188 188 293 299 202 213 213 222 140 140 230 232 106 108 301 305 129 129
"254" "K278258" 272 279 122 122 131 131 249 249 237 241 184 188 293 299 173 197 184 222 140 140 230 234 106 108 305 305 129 129
"255" "K278260" 272 279 122 130 131 133 249 249 237 247 184 184 293 316 213 213 184 217 140 152 230 232 106 108 305 305 117 129
"256" "K278279" 272 279 122 143 131 133 249 249 237 241 184 188 293 299 173 213 213 213 140 152 230 230 106 106 299 305 119 129
"257" "K278285" 272 272 122 143 131 137 249 249 237 247 184 184 299 316 197 202 213 222 140 152 230 230 106 108 305 305 129 129
"258" "K278292" 279 279 122 122 131 131 249 249 237 247 184 188 299 310 173 197 213 218 152 152 230 234 106 106 305 305 119 129
"259" "K278296" 279 279 122 143 133 133 NA NA 241 247 184 184 299 316 202 213 213 222 140 152 230 232 106 108 299 305 119 119
"260" "K278368" 279 279 122 122 131 137 249 249 237 237 184 188 299 299 173 202 213 222 140 140 232 234 106 106 299 305 117 119
"262" "N021706" 272 272 122 143 131 133 253 253 237 237 184 184 299 299 202 213 213 213 140 140 230 234 108 108 299 305 117 117
"263" "N021709" 279 279 122 122 131 131 249 249 237 237 184 188 293 293 173 213 184 222 140 140 230 232 108 108 301 305 117 129
"264" "N021711" 272 279 122 143 131 137 249 249 237 247 184 188 299 299 197 213 222 222 140 140 230 232 106 106 301 305 119 129
"265" "N021712" 279 279 122 122 131 133 249 249 237 241 184 188 299 299 173 213 213 222 140 152 230 232 106 106 299 305 119 129
"266" "N021721" 272 279 143 143 131 131 249 253 237 237 184 196 293 305 173 213 184 213 140 152 232 234 106 108 305 305 129 129
"267" "N021723" 272 279 122 143 131 137 249 249 237 237 184 184 293 299 173 202 213 222 140 152 230 234 106 108 305 305 117 119
"268" "N021724" 272 279 130 143 131 137 249 253 237 237 184 188 299 299 197 202 217 222 140 152 230 234 106 108 305 305 129 129
"269" "N021728" 272 279 122 122 131 131 249 253 237 241 184 184 293 293 173 202 184 213 140 152 232 234 106 108 299 305 119 129
"270" "N021737" 279 284 122 143 131 133 249 249 237 237 184 188 316 316 173 202 213 217 140 147 230 232 108 108 299 305 119 129
"271" "N021741" 272 272 122 143 131 133 249 253 237 237 184 196 293 299 197 202 213 213 140 140 230 230 106 106 305 305 117 129
"272" "N021744" 272 272 122 122 131 133 249 253 237 237 184 188 299 299 173 197 213 222 140 140 230 232 106 106 305 305 117 119
"273" "N021746" 272 272 122 143 131 131 249 249 237 237 184 184 299 310 202 213 213 222 140 140 232 234 106 106 305 305 119 125
"274" "N021751" 279 279 122 122 131 133 249 253 237 237 184 188 310 316 173 197 213 222 147 152 230 232 106 108 305 305 119 129
"275" "N021756" 272 272 122 143 131 131 249 253 237 237 184 196 293 299 197 197 213 213 140 140 230 230 106 106 305 305 117 117
"276" "N021769" 272 279 122 122 131 133 249 249 237 237 184 184 293 299 202 213 213 222 140 147 230 232 106 108 299 305 129 129
"279" "N021796" 272 279 122 122 131 133 249 253 237 247 188 188 293 299 197 213 213 213 140 147 232 232 106 108 305 305 117 119
"280" "N021798" 272 284 122 122 131 131 249 253 247 247 184 188 310 310 213 213 213 213 140 147 232 234 106 106 299 305 117 117
"281" "N021799" 272 272 122 143 131 131 249 249 237 237 184 184 299 299 202 202 213 222 140 152 230 232 106 106 305 305 119 129
"282" "N021824" 272 272 130 143 131 131 249 249 237 237 184 188 293 299 173 202 184 213 140 140 230 234 106 108 305 305 119 125
"283" "N021825" 272 279 122 130 131 133 249 249 237 237 184 188 293 299 173 202 184 213 140 152 230 234 106 106 305 305 119 129
"284" "N021828" 272 272 122 122 131 131 249 249 237 237 184 184 299 299 197 202 213 222 140 140 232 232 106 106 299 299 117 125
"285" "N021857" 279 279 122 143 131 133 249 249 237 247 188 188 293 299 202 213 222 222 140 152 230 234 106 106 305 305 119 129
"287" "N021901" 272 279 122 122 131 131 249 249 237 237 184 188 299 316 213 213 222 222 140 152 230 230 106 108 299 305 117 129
"288" "N021902" 279 279 122 122 131 131 249 249 237 237 184 188 293 299 213 213 184 213 140 152 230 230 106 108 301 305 117 119
"289" "N021903" 272 279 122 143 131 133 249 253 237 237 184 184 299 305 197 213 213 222 140 152 230 234 106 106 299 305 119 129
"290" "N021911" 272 279 122 122 131 131 249 249 237 237 184 188 293 299 173 213 184 213 147 152 230 232 108 108 299 305 117 129
"291" "N021917" 272 279 122 122 131 131 249 249 237 237 184 188 310 316 213 213 222 222 140 140 232 232 106 106 305 305 119 129
"292" "N021918" 272 279 122 122 131 133 249 249 241 247 188 188 293 299 202 213 213 222 140 152 234 234 106 106 299 305 117 129
"294" "N021922" 272 279 122 122 131 131 249 249 237 237 184 188 293 310 202 213 184 213 140 140 230 230 106 108 301 305 129 129
"295" "N021925" 272 279 122 122 131 133 249 249 237 241 184 188 293 310 173 213 213 222 140 152 230 230 106 108 299 305 119 125
"296" "N021927" 272 279 122 122 131 131 249 253 237 237 188 188 293 293 202 213 184 213 140 147 230 232 106 108 305 305 117 129
"297" "N021936" 272 279 122 143 131 133 249 253 237 237 184 184 299 310 197 202 217 222 140 147 232 232 106 106 305 305 117 129
"298" "N021938" 279 279 122 122 131 131 249 253 237 241 184 184 293 299 197 202 213 213 140 152 232 234 106 108 305 305 117 117
"299" "N021939" 272 272 122 130 133 133 249 253 237 247 184 188 299 305 173 202 213 222 140 140 230 232 106 106 299 305 117 117
"300" "N021940" 272 279 122 122 131 131 249 253 237 247 184 188 299 299 173 213 213 222 140 152 230 234 106 108 301 305 117 129
"302" "N021942" 272 279 122 122 133 133 249 249 237 237 184 188 299 310 197 213 222 222 140 147 232 234 106 108 299 305 117 129
"303" "N021944" 279 284 122 130 131 131 249 253 237 237 184 188 293 299 173 173 213 213 140 147 230 232 106 108 305 305 117 117
"304" "N021946" 272 279 122 122 131 137 249 253 237 241 188 188 293 299 173 202 213 213 140 152 230 230 106 106 305 305 119 125
"305" "N021948" 272 279 122 122 131 131 249 249 237 237 184 188 293 310 197 213 217 222 140 152 230 232 106 106 305 305 119 129
"306" "N021957" 272 272 122 130 131 131 249 249 237 237 184 184 293 293 173 213 213 222 140 140 230 230 106 108 301 305 119 125
"307" "N021959" 272 272 122 143 131 131 249 253 237 241 184 188 299 310 173 213 213 213 140 140 230 232 108 108 305 305 117 129
"308" "N021960" 272 279 122 130 133 133 249 249 237 247 184 188 299 316 202 213 184 222 140 147 230 232 106 108 305 305 117 129
"309" "N021964" 272 279 122 130 131 131 249 249 237 237 184 184 310 316 213 213 184 222 152 152 232 232 106 106 299 299 119 129
"310" "N021965" 279 279 122 122 131 133 249 253 241 241 184 188 293 293 202 213 213 217 152 152 230 230 106 106 299 299 129 129
"311" "N021966" 279 279 122 143 131 133 249 253 237 237 184 184 299 316 173 173 213 222 147 152 230 230 106 106 305 305 117 119
"312" "N021971" 272 272 122 122 131 133 249 249 237 237 184 188 310 310 173 213 213 222 140 140 230 232 106 106 299 299 129 129
"313" "N021988" 272 279 122 122 131 133 249 249 241 241 184 188 293 299 213 213 213 222 140 152 230 230 106 108 305 305 117 119
"314" "N021991" 272 279 122 143 133 137 249 249 237 237 184 188 299 316 173 213 213 213 140 152 230 230 106 108 305 305 129 129
"315" "N021996" 272 272 122 122 131 131 249 249 237 237 184 184 310 316 213 213 222 222 152 152 230 232 106 106 299 301 129 129
"317" "N748817" 272 272 122 122 131 131 249 249 237 237 184 184 310 316 213 213 184 222 152 152 230 232 106 106 299 301 129 129
"318" "N748833" 272 279 122 122 131 131 249 253 237 237 184 188 299 299 197 202 213 222 140 152 230 234 106 106 305 305 117 129
"319" "urhelper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
